2015-05-04 06:20:38,130 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:38,132 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\Avro\src\main\resources
2015-05-04 06:20:38,135 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:38,136 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\Avro\src\test\resources
2015-05-04 06:20:40,192 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AvroMapReduce:AvroMapReduce:0.0.1-SNAPSHOT @ C:\Hadoop\workspace-course\AvroMapReduce\pom.xml.
2015-05-04 06:20:45,873 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:45,874 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\AvroMapReduce\src\main\resources
2015-05-04 06:20:45,876 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:45,878 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\AvroMapReduce\src\test\resources
2015-05-04 06:20:46,136 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: FacebookFriends:FacebookFriends:0.0.1 @ C:\Hadoop\workspace-course\FacebookFriends\pom.xml.
2015-05-04 06:20:47,488 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:47,489 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\FacebookFriends\src\main\resources
2015-05-04 06:20:47,491 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:47,492 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\FacebookFriends\src\test\resources
2015-05-04 06:20:47,698 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PageRankPig:PageRankPig:0.0.1 @ C:\Hadoop\workspace-course\PageRankPig\pom.xml.
2015-05-04 06:20:47,929 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: PageRankPig:PageRankPig:0.0.1 @ C:\Hadoop\workspace-course\PageRankPig\pom.xml.
2015-05-04 06:20:51,280 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:51,281 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\PageRankPig\src\main\resources
2015-05-04 06:20:51,283 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:51,284 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\PageRankPig\src\test\resources
2015-05-04 06:20:51,983 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: SmallFilesSequenceFile:smallfilessequencefile:2.0 @ C:\Hadoop\workspace-course\SmallFilesSequenceFile\pom.xml.
2015-05-04 06:20:55,088 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:55,089 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\SmallFilesSequenceFile\src\main\resources
2015-05-04 06:20:55,092 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-05-04 06:20:55,093 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Hadoop\workspace-course\SmallFilesSequenceFile\src\test\resources
